Ref_ID;Transaction_date;Transaction_operation;Asset;Asset_amount;Order_Type;Operator;Cost;Fee;Price;remainder
VCKBHQZA;2018-03-19;Buy;Bitcoin;0.0357360;Market;Coinbase;240.41;9.59;6727.39;1.00
U3EPNWYT;2018-03-19;Buy;Ethereum;0.1111241;Market;Coinbase;48.01;1.99;432.04;1.00
FU2HENSR;2018-03-20;Buy;Bitcoin;0.0137711;Market;Coinbase;96.16;3.84;6982.74;1.00
N7ECEFX2;2018-03-29;Buy;Bitcoin;0.0235244;Market;Coinbase;144.24;5.76;6131.51;1.00
DHJ9K4UV;2018-04-18;Buy;Bitcoin;0.0223460;Market;Coinbase;144.24;5.76;6454.85;1.00
A4DBKYEN;2018-04-21;Buy;Bitcoin;0.0131806;Market;Coinbase;95.20;3.80;7222.74;1.00
H69GAYQ6;2018-05-15;Buy;Bitcoin;0.0132012;Market;Coinbase;96.16;3.84;7284.18;1.00
WPC4TXXQ;2018-05-28;Buy;Bitcoin;0.0076388;Market;Coinbase;48.01;1.99;6285.00;1.00
MFEJRJH7;2018-06-10;Buy;Bitcoin;0.0154218;Market;Coinbase;96.16;3.84;6235.33;1.00
KNJNQPRV;2018-06-13;Buy;Ethereum;0.4650455;Market;Coinbase;192.33;7.67;413.57;1.00
7EVAA8L2;2018-06-21;Buy;Ethereum;0.2044435;Market;Coinbase;96.16;3.84;470.35;1.00
8U3VGX95;2018-08-10;Buy;Ethereum;0.3068880;Market;Coinbase;97.09;2.91;316.37;1.00
VY9FF4UN;2018-09-13;Buy;Ethereum;0.7724148;Market;Coinbase;144.24;5.76;186.74;1.00
E79U7RKA;2018-09-17;Buy;Ethereum;0.5658539;Market;Coinbase;96.16;3.84;169.94;1.00
JCTAR4U7;2018-11-25;Buy;Bitcoin;0.0435193;Market;Coinbase;144.24;5.76;3314.39;1.00
pdx6hj6t2thi6rr4;2018-12-09;Sell;Ethereum;0.2000000;Market;Exodus;19.03;0.00;95.14;1.00
pdx6hj6t2thi6rr4;2018-12-09;Buy;Ripple;57.89501;Market;Exodus;15.50;0.00;0.27;1.00
D8TB9YPF;2018-12-12;Buy;Bitcoin;0.0956843;Market;Coinbase;288.49;11.51;3015.02;1.00
T4QFBO-KX2RC-E2OJVD;2018-12-26;Sell;Ethereum;0.1996487;Market;Kraken;22.33;0.25;111.83;1.00
T4QFBO-KX2RC-E2OJVD;2018-12-26;Buy;Bitcoin;0.0067020;Market;Kraken;22.07;0.03;3293.55;1.00
TN5RVP-OO4VQ-557SOH;2019-01-10;Buy;Bitcoin;0.1900000;Market;Kraken;597.55;1.55;3145.00;1.00
TLIFI3-EQXHM-3RDWR2;2019-02-10;Sell;Bitcoin;0.1966800;Market;Kraken;626.19;1.63;3183.80;1.00
TEA24O-53TBA-EZ6V77;2019-02-18;Buy;Bitcoin;0.1851201;Market;Kraken;623.84;1.62;3369.90;1.00
TJYM44-AY6TM-P2NMFC;2019-03-09;Buy;Bitcoin;0.0020000;Limit;Kraken;6.97;0.02;3482.80;1.00
TC5LTN-O2G24-XHZ2NJ;2019-03-09;Buy;Bitcoin;0.0359000;Limit;Kraken;125.03;0.20;3482.80;1.00
T4ATB3-RT6JN-PNX6MK;2019-03-09;Buy;Bitcoin;0.0050980;Limit;Kraken;17.76;0.03;3482.80;1.00
